source,target,count,label
CAN,BHR,0,2000-2005
CAN,BHR,0,1995-2000
CAN,BHR,0,1990-1995
CAN,CYP,366,2005-2010
CAN,CYP,617,2000-2005
CAN,CYP,357,1995-2000
CAN,CYP,893,1990-1995
CAN,ISR,1821,2005-2010
CAN,ISR,510,2000-2005
CAN,ISR,606,1995-2000
CAN,ISR,6829,1990-1995
CAN,JOR,285,2005-2010
CAN,JOR,0,2000-2005
CAN,JOR,6,1995-2000
CAN,JOR,1383,1990-1995
CAN,LBN,77,2005-2010
CAN,LBN,0,2000-2005
CAN,LBN,10,1995-2000
CAN,LBN,4427,1990-1995
CAN,QAT,157,2005-2010
CAN,QAT,0,2000-2005
CAN,QAT,0,1995-2000
CAN,QAT,0,1990-1995
CAN,SYR,465,2005-2010
CAN,SYR,0,2000-2005
CAN,SYR,0,1995-2000
CAN,SYR,0,1990-1995
CAN,TUR,2121,2005-2010
CAN,TUR,1299,2000-2005
CAN,TUR,4,1995-2000
CAN,TUR,652,1990-1995
USA,ARE,4530,2005-2010
USA,ARE,649,2000-2005
USA,ARE,0,1995-2000
USA,ARE,802,1990-1995
USA,BHR,1035,2005-2010
USA,BHR,6,2000-2005
USA,BHR,0,1995-2000
USA,BHR,52,1990-1995
USA,CYP,4167,2005-2010
USA,CYP,4289,2000-2005
USA,CYP,21,1995-2000
USA,CYP,3714,1990-1995
USA,IRQ,8,2005-2010
USA,IRQ,0,2000-2005
USA,IRQ,1,1995-2000
USA,IRQ,1364,1990-1995
USA,ISR,64692,2005-2010
USA,ISR,24544,2000-2005
USA,ISR,55,1995-2000
USA,ISR,48333,1990-1995
USA,JOR,441,2005-2010
USA,JOR,0,2000-2005
USA,JOR,7,1995-2000
USA,JOR,5853,1990-1995
USA,KWT,12,2005-2010
USA,KWT,12,2000-2005
USA,KWT,0,1995-2000
USA,KWT,0,1990-1995
USA,LBN,118,2005-2010
USA,LBN,0,2000-2005
USA,LBN,14,1995-2000
USA,LBN,20503,1990-1995
USA,PSE,801,2005-2010
USA,PSE,0,2000-2005
USA,PSE,0,1995-2000
USA,PSE,4915,1990-1995
USA,QAT,1709,2005-2010
USA,QAT,143,2000-2005
USA,QAT,0,1995-2000
USA,QAT,0,1990-1995
USA,SYR,716,2005-2010
USA,SYR,162,2000-2005
USA,SYR,0,1995-2000
USA,SYR,1,1990-1995
USA,TUR,46767,2005-2010
USA,TUR,33699,2000-2005
USA,TUR,2,1995-2000
USA,TUR,4661,1990-1995
CAN,IRN,1,2005-2010
CAN,IRN,4131,2000-2005
CAN,IRN,0,1995-2000
CAN,IRN,0,1990-1995
USA,BTN,12,2005-2010
USA,BTN,33,2000-2005
USA,BTN,2,1995-2000
USA,BTN,0,1990-1995
USA,IRN,145,2005-2010
USA,IRN,55607,2000-2005
USA,IRN,158,1995-2000
USA,IRN,35502,1990-1995
CAN,CHN,642,2005-2010
CAN,CHN,253,2000-2005
CAN,CHN,1300,1995-2000
CAN,CHN,647,1990-1995
CAN,JPN,185,2005-2010
CAN,JPN,0,2000-2005
CAN,JPN,1201,1995-2000
CAN,JPN,1716,1990-1995
CAN,KOR,1191,2005-2010
CAN,KOR,981,2000-2005
CAN,KOR,842,1995-2000
CAN,KOR,779,1990-1995
CAN,MNG,17,2005-2010
CAN,MNG,11,2000-2005
CAN,MNG,0,1995-2000
CAN,MNG,0,1990-1995
CAN,PRK,42,2005-2010
CAN,PRK,23,2000-2005
CAN,PRK,39,1995-2000
CAN,PRK,35,1990-1995
USA,CHN,11317,2005-2010
USA,CHN,5373,2000-2005
USA,CHN,20,1995-2000
USA,CHN,1633,1990-1995
USA,HKG,130,2005-2010
USA,HKG,0,2000-2005
USA,HKG,197,1995-2000
USA,HKG,2901,1990-1995
USA,JPN,6876,2005-2010
USA,JPN,0,2000-2005
USA,JPN,4,1995-2000
USA,JPN,6575,1990-1995
USA,KOR,17775,2005-2010
USA,KOR,14064,2000-2005
USA,KOR,28,1995-2000
USA,KOR,1674,1990-1995
USA,MNG,324,2005-2010
USA,MNG,202,2000-2005
USA,MNG,0,1995-2000
USA,MNG,0,1990-1995
USA,PRK,646,2005-2010
USA,PRK,397,2000-2005
USA,PRK,0,1995-2000
USA,PRK,123,1990-1995
CAN,IDN,75,2005-2010
CAN,IDN,120,2000-2005
CAN,IDN,0,1995-2000
CAN,IDN,95,1990-1995
CAN,PHL,337,2005-2010
CAN,PHL,202,2000-2005
CAN,PHL,569,1995-2000
CAN,PHL,522,1990-1995
CAN,SGP,338,2005-2010
CAN,SGP,139,2000-2005
CAN,SGP,6076,1995-2000
CAN,SGP,49,1990-1995
CAN,VNM,5,2005-2010
CAN,VNM,3,2000-2005
CAN,VNM,244,1995-2000
CAN,VNM,33,1990-1995
USA,BRN,60,2005-2010
USA,BRN,49,2000-2005
USA,BRN,0,1995-2000
USA,BRN,9,1990-1995
USA,IDN,1165,2005-2010
USA,IDN,1903,2000-2005
USA,IDN,0,1995-2000
USA,IDN,0,1990-1995
USA,PHL,1251,2005-2010
USA,PHL,835,2000-2005
USA,PHL,322,1995-2000
USA,PHL,8246,1990-1995
USA,SGP,5669,2005-2010
USA,SGP,2293,2000-2005
USA,SGP,2,1995-2000
USA,SGP,554,1990-1995
USA,THA,32327,2005-2010
USA,THA,82180,2000-2005
USA,THA,37394,1995-2000
USA,THA,4,1990-1995
USA,VNM,531,2005-2010
USA,VNM,370,2000-2005
USA,VNM,97,1995-2000
USA,VNM,567,1990-1995
CAN,AUS,2403,2005-2010
CAN,AUS,1368,2000-2005
CAN,AUS,3161,1995-2000
CAN,AUS,3780,1990-1995
CAN,NZL,389,2005-2010
CAN,NZL,416,2000-2005
CAN,NZL,1493,1995-2000
CAN,NZL,1715,1990-1995
USA,AUS,39044,2005-2010
USA,AUS,19184,2000-2005
USA,AUS,257,1995-2000
USA,AUS,22617,1990-1995
USA,FJI,3,2005-2010
USA,FJI,0,2000-2005
USA,FJI,0,1995-2000
USA,FJI,2,1990-1995
USA,NCL,648,2005-2010
USA,NCL,1272,2000-2005
USA,NCL,0,1995-2000
USA,NCL,48,1990-1995
USA,NZL,9709,2005-2010
USA,NZL,7775,2000-2005
USA,NZL,224,1995-2000
USA,NZL,8560,1990-1995
USA,PNG,38,2005-2010
USA,PNG,0,2000-2005
USA,PNG,0,1995-2000
USA,PNG,122,1990-1995
USA,PYF,41,2005-2010
USA,PYF,63,2000-2005
USA,PYF,0,1995-2000
USA,PYF,73,1990-1995
USA,SLB,8,2005-2010
USA,SLB,0,2000-2005
USA,SLB,0,1995-2000
USA,SLB,0,1990-1995
USA,TON,4,2005-2010
USA,TON,1,2000-2005
USA,TON,0,1995-2000
USA,TON,0,1990-1995
USA,VUT,16,2005-2010
USA,VUT,32,2000-2005
USA,VUT,0,1995-2000
USA,VUT,0,1990-1995
CAN,BHS,1,2005-2010
CAN,BHS,2,2000-2005
CAN,BHS,395,1995-2000
CAN,BHS,217,1990-1995
CAN,BLZ,28,2005-2010
CAN,BLZ,18,2000-2005
CAN,BLZ,0,1995-2000
